"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"1000000US060750102011007","Block 1007, Block Group 1, Census Tract 102.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102011008","Block 1008, Block Group 1, Census Tract 102.01, San Francisco County, California","218","178","3","0","18","0","3","16",
"1000000US060750102012000","Block 2000, Block Group 2, Census Tract 102.01, San Francisco County, California","187","139","6","0","21","1","1","19",
"1000000US060750102012001","Block 2001, Block Group 2, Census Tract 102.01, San Francisco County, California","232","203","4","0","9","0","0","16",
"1000000US060750102012002","Block 2002, Block Group 2, Census Tract 102.01, San Francisco County, California","242","204","1","1","23","0","0","13",
"1000000US060750102012003","Block 2003, Block Group 2, Census Tract 102.01, San Francisco County, California","412","296","2","0","79","1","8","26",
"1000000US060750102021000","Block 1000, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102021001","Block 1001, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102021002","Block 1002, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102021003","Block 1003, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102021004","Block 1004, Block Group 1, Census Tract 102.02, San Francisco County, California","10","5","5","0","0","0","0","0",
"1000000US060750102021005","Block 1005, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102021006","Block 1006, Block Group 1, Census Tract 102.02, San Francisco County, California","12","11","0","0","0","1","0","0",
"1000000US060750102021007","Block 1007, Block Group 1, Census Tract 102.02, San Francisco County, California","119","88","0","0","8","0","7","16",
"1000000US060750102021008","Block 1008, Block Group 1, Census Tract 102.02, San Francisco County, California","26","10","0","0","1","1","1","13",
"1000000US060750102021009","Block 1009, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102021010","Block 1010, Block Group 1, Census Tract 102.02, San Francisco County, California","140","99","1","0","14","0","7","19",
"1000000US060750102021011","Block 1011, Block Group 1, Census Tract 102.02, San Francisco County, California","29","14","3","0","10","0","1","1",
"1000000US060750102021012","Block 1012, Block Group 1, Census Tract 102.02, San Francisco County, California","89","58","0","0","28","0","0","3",
"1000000US060750102021013","Block 1013, Block Group 1, Census Tract 102.02, San Francisco County, California","195","135","0","0","39","0","7","14",
"1000000US060750102021014","Block 1014, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102021015","Block 1015, Block Group 1, Census Tract 102.02, San Francisco County, California","73","60","0","1","7","0","2","3",
"1000000US060750102021016","Block 1016, Block Group 1, Census Tract 102.02, San Francisco County, California","41","19","5","0","14","0","0","3",
"1000000US060750102021017","Block 1017, Block Group 1, Census Tract 102.02, San Francisco County, California","186","152","1","0","24","0","0","9",
"1000000US060750102021018","Block 1018, Block Group 1, Census Tract 102.02, San Francisco County, California","97","75","3","0","10","0","3","6",
"1000000US060750102022000","Block 2000, Block Group 2, Census Tract 102.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102022001","Block 2001, Block Group 2, Census Tract 102.02, San Francisco County, California","267","168","0","0","85","0","0","14",
"1000000US060750102022002","Block 2002, Block Group 2, Census Tract 102.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102022003","Block 2003, Block Group 2, Census Tract 102.02, San Francisco County, California","287","205","8","0","47","1","8","18",
