"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1000000US060750102021013","Block 1013, Block Group 1, Census Tract 102.02, San Francisco County, California","195",
"1000000US060750102021014","Block 1014, Block Group 1, Census Tract 102.02, San Francisco County, California","0",
"1000000US060750102021015","Block 1015, Block Group 1, Census Tract 102.02, San Francisco County, California","73",
"1000000US060750102021016","Block 1016, Block Group 1, Census Tract 102.02, San Francisco County, California","41",
"1000000US060750102021017","Block 1017, Block Group 1, Census Tract 102.02, San Francisco County, California","186",
"1000000US060750102021018","Block 1018, Block Group 1, Census Tract 102.02, San Francisco County, California","97",
"1000000US060750102022000","Block 2000, Block Group 2, Census Tract 102.02, San Francisco County, California","0",
"1000000US060750102022001","Block 2001, Block Group 2, Census Tract 102.02, San Francisco County, California","267",
"1000000US060750102022002","Block 2002, Block Group 2, Census Tract 102.02, San Francisco County, California","0",
"1000000US060750102022003","Block 2003, Block Group 2, Census Tract 102.02, San Francisco County, California","287",
"1000000US060750102022004","Block 2004, Block Group 2, Census Tract 102.02, San Francisco County, California","150",
"1000000US060750102022005","Block 2005, Block Group 2, Census Tract 102.02, San Francisco County, California","0",
"1000000US060750102022006","Block 2006, Block Group 2, Census Tract 102.02, San Francisco County, California","213",
"1000000US060750102022007","Block 2007, Block Group 2, Census Tract 102.02, San Francisco County, California","140",
"1000000US060750103001000","Block 1000, Block Group 1, Census Tract 103, San Francisco County, California","84",
"1000000US060750103001001","Block 1001, Block Group 1, Census Tract 103, San Francisco County, California","104",
"1000000US060750103001002","Block 1002, Block Group 1, Census Tract 103, San Francisco County, California","0",
"1000000US060750103001003","Block 1003, Block Group 1, Census Tract 103, San Francisco County, California","61",
"1000000US060750103001004","Block 1004, Block Group 1, Census Tract 103, San Francisco County, California","0",
"1000000US060750103001005","Block 1005, Block Group 1, Census Tract 103, San Francisco County, California","103",
"1000000US060750103001006","Block 1006, Block Group 1, Census Tract 103, San Francisco County, California","79",
"1000000US060750103001007","Block 1007, Block Group 1, Census Tract 103, San Francisco County, California","227",
"1000000US060750103001008","Block 1008, Block Group 1, Census Tract 103, San Francisco County, California","97",
"1000000US060750103001009","Block 1009, Block Group 1, Census Tract 103, San Francisco County, California","63",
"1000000US060750103001010","Block 1010, Block Group 1, Census Tract 103, San Francisco County, California","117",
"1000000US060750103001011","Block 1011, Block Group 1, Census Tract 103, San Francisco County, California","213",
"1000000US060750103001012","Block 1012, Block Group 1, Census Tract 103, San Francisco County, California","330",
"1000000US060750103001013","Block 1013, Block Group 1, Census Tract 103, San Francisco County, California","207",
"1000000US060750103002000","Block 2000, Block Group 2, Census Tract 103, San Francisco County, California","197",
"1000000US060750103002001","Block 2001, Block Group 2, Census Tract 103, San Francisco County, California","113",
"1000000US060750103002002","Block 2002, Block Group 2, Census Tract 103, San Francisco County, California","153",
"1000000US060750103002003","Block 2003, Block Group 2, Census Tract 103, San Francisco County, California","170",
"1000000US060750103002004","Block 2004, Block Group 2, Census Tract 103, San Francisco County, California","163",
"1000000US060750103002005","Block 2005, Block Group 2, Census Tract 103, San Francisco County, California","295",
"1000000US060750103003000","Block 3000, Block Group 3, Census Tract 103, San Francisco County, California","288",
"1000000US060750103003001","Block 3001, Block Group 3, Census Tract 103, San Francisco County, California","126",
"1000000US060750103003002","Block 3002, Block Group 3, Census Tract 103, San Francisco County, California","239",
"1000000US060750103003003","Block 3003, Block Group 3, Census Tract 103, San Francisco County, California","54",
"1000000US060750103003004","Block 3004, Block Group 3, Census Tract 103, San Francisco County, California","61",
"1000000US060750103003005","Block 3005, Block Group 3, Census Tract 103, San Francisco County, California","175",
