"GEOID","AFFGEOID","tree_cover_percentage"
"060750156003","1500000US060750156003",5.84796499349738
"060750169001","1500000US060750169001",6.67288568731727
"060750153001","1500000US060750153001",6.37299662106402
"060750217001","1500000US060750217001",22.0088809119837
"060750260012","1500000US060750260012",1.86507052105166
"060750427001","1500000US060750427001",1.3975333902024
"060750170003","1500000US060750170003",11.1530539037093
"060750330011","1500000US060750330011",1.51740048435457
"060750167001","1500000US060750167001",4.0193830009836
"060750328013","1500000US060750328013",2.19953098674775
"060750178012","1500000US060750178012",1.45537470076963
"060750313013","1500000US060750313013",3.76302779940931
"060750478012","1500000US060750478012",0.563257119955603
"060750229022","1500000US060750229022",2.93297486875092
"060750234001","1500000US060750234001",1.07510369795491
"060750264022","1500000US060750264022",1.42322555492592
"060750615042","1500000US060750615042",10.1927287218307
"060750301024","1500000US060750301024",35.5033196250556
"060750607013","1500000US060750607013",1.44528474781094
"060750169002","1500000US060750169002",2.30726394563373
"060750134012","1500000US060750134012",7.88183200352147
"060750178041","1500000US060750178041",1.37474125060645
"060750615022","1500000US060750615022",0.995306851628745
"060750180002","1500000US060750180002",0.158751069540601
"060750163004","1500000US060750163004",4.25745555434756
"060750206021","1500000US060750206021",6.80326423150396
"060750309003","1500000US060750309003",5.65122543344002
"060750263011","1500000US060750263011",1.52202786182718
"060750328021","1500000US060750328021",1.70061321294164
"060750312021","1500000US060750312021",3.20158767595441
"060750326023","1500000US060750326023",2.6957643283536
"060750328023","1500000US060750328023",1.2140247948936
"060750151003","1500000US060750151003",0.610554738572682
"060750314023","1500000US060750314023",3.05327901133428
"060750610003","1500000US060750610003",1.91967656527161
"060750102021","1500000US060750102021",1.74990526005643
"060750479041","1500000US060750479041",6.70779761388755
"060750154011","1500000US060750154011",4.62364344297959
"060750124032","1500000US060750124032",0.741765779197119
"060750168012","1500000US060750168012",3.83738542865631
"060750311004","1500000US060750311004",5.72869214070709
"060750354003","1500000US060750354003",0.136833450056812
"060750155001","1500000US060750155001",4.67789588127016
"060750210004","1500000US060750210004",3.69564744605609
"060750202011","1500000US060750202011",3.6360419221031
"060750111012","1500000US060750111012",1.49468011509428
"060750615033","1500000US060750615033",2.17024142139339
"060750611022","1500000US060750611022",0
"060750208013","1500000US060750208013",1.31837762548419
"060750255011","1500000US060750255011",3.30031979687144
"060750164003","1500000US060750164003",6.76957260605189
"060750214001","1500000US060750214001",5.37201891151433
"060750477012","1500000US060750477012",2.88527354128077
"060750120021","1500000US060750120021",1.41383370540289
"060750604001","1500000US060750604001",12.215534986555
"060750312013","1500000US060750312013",2.09639418496861
"060750232001","1500000US060750232001",1.48427817251426
"060750128011","1500000US060750128011",9.53704953862136
"060750257022","1500000US060750257022",1.31843791459658
"060750160002","1500000US060750160002",2.04725438175718
"060750426011","1500000US060750426011",2.54291333724354
"060750126022","1500000US060750126022",2.20848632879835
"060750110023","1500000US060750110023",1.88407785833856
"060750127002","1500000US060750127002",4.69825293591216
"060750426022","1500000US060750426022",8.34814381205293
"060750614012","1500000US060750614012",4.24603806695515
"060750402004","1500000US060750402004",13.3202339347612
"060750302022","1500000US060750302022",4.46286853340483
"060750125021","1500000US060750125021",1.78031788734375
"060750228021","1500000US060750228021",1.63066131360348
"060750178013","1500000US060750178013",2.58853194135282
"060750233001","1500000US060750233001",2.99887998443579
"060750123011","1500000US060750123011",0.763289586916719
"060750254013","1500000US060750254013",5.3463181151741
"060750170004","1500000US060750170004",11.4167270515725
"060750157022","1500000US060750157022",4.81680244339841
"060750229011","1500000US060750229011",6.50246328517427
"060750263022","1500000US060750263022",1.0908249749428
"060750129021","1500000US060750129021",1.08530922529625
"060750354002","1500000US060750354002",0.180774616359622
"060750161022","1500000US060750161022",2.95010404252235
"060750615031","1500000US060750615031",0.885716593888397
"060750177001","1500000US060750177001",0.6034167849539
"060750166021","1500000US060750166021",6.40950633089915
"060750260021","1500000US060750260021",2.9431572590195
"060750314022","1500000US060750314022",3.16437042731586
"060750251002","1500000US060750251002",6.10106417012305
"060750122022","1500000US060750122022",0.370285937264871
"060750101021","1500000US060750101021",1.27922088766995
"060750205002","1500000US060750205002",6.46742050769066
"060759803001","1500000US060759803001",27.7879768930314
"060750313011","1500000US060750313011",3.82185524854957
"060750313023","1500000US060750313023",4.91878241936613
"060750109021","1500000US060750109021",0.804697524476804
"060750110011","1500000US060750110011",1.92843115496433
"060750152021","1500000US060750152021",3.15872917601368
"060750215004","1500000US060750215004",5.28490169147517
"060750212003","1500000US060750212003",9.38611285863087
"060750332043","1500000US060750332043",2.33457025812882
"060750155003","1500000US060750155003",1.97811444169248
"060750176032","1500000US060750176032",0.521752478817146
"060750232003","1500000US060750232003",2.25991691714236
"060750213001","1500000US060750213001",7.37256888025243
"060750131011","1500000US060750131011",2.13209342238293
"060750168023","1500000US060750168023",3.60489982407835
"060750227042","1500000US060750227042",4.00485107953634
"060750123021","1500000US060750123021",0.922880130601119
"060750215003","1500000US060750215003",5.62761361455268
"060750228012","1500000US060750228012",3.2887097072524
"060750260022","1500000US060750260022",3.60524640768679
"060750302012","1500000US060750302012",2.87783271358772
"060750303013","1500000US060750303013",7.77137008981533
"060750264042","1500000US060750264042",0.47945309665026
"060750308002","1500000US060750308002",13.6769604899638
"060750327006","1500000US060750327006",1.19049540819892
"060750352015","1500000US060750352015",0.369922036839144
"060750401001","1500000US060750401001",10.0287379323231
"060750476003","1500000US060750476003",5.4720355714261
"060750103001","1500000US060750103001",2.01061983082882
"060750133004","1500000US060750133004",11.1845288827535
"060750615021","1500000US060750615021",3.09817171182416
"060750162001","1500000US060750162001",2.80417361578463
"060750176041","1500000US060750176041",0.49092916804083
"060750227022","1500000US060750227022",3.14566925860523
"060750204022","1500000US060750204022",5.62238222941436
"060750162002","1500000US060750162002",2.28428767307226
"060750215001","1500000US060750215001",6.22920564426141
"060750256003","1500000US060750256003",3.38393496451563
"060750125032","1500000US060750125032",0.541724888440563
"060750158022","1500000US060750158022",5.04175659673142
"060750312022","1500000US060750312022",4.29769091691605
"060750428002","1500000US060750428002",6.10025131257878
"060750309006","1500000US060750309006",7.1307596710655
"060750109012","1500000US060750109012",2.33422638720893
"060750402003","1500000US060750402003",5.63631338132298
"060750427002","1500000US060750427002",1.09297711621331
"060750451003","1500000US060750451003",4.27336721107638
"060750476001","1500000US060750476001",6.47132434284009
"060750479023","1500000US060750479023",1.5634963419098
"060750162003","1500000US060750162003",1.57396481997173
"060750601001","1500000US060750601001",18.4452700424267
"060750230032","1500000US060750230032",1.66261926961617
"060750260032","1500000US060750260032",2.42813875955897
"060750605023","1500000US060750605023",1.20408347256156
"060750105001","1500000US060750105001",1.71995415363364
"060750108002","1500000US060750108002",0.77828678547934
"060750112002","1500000US060750112002",2.19165560873372
"060750105002","1500000US060750105002",2.77841134699097
"060750127001","1500000US060750127001",4.10066875213237
"060750133001","1500000US060750133001",9.8098856400963
"060750155002","1500000US060750155002",2.36713802235018
"060750160001","1500000US060750160001",2.44867456159854
"060750163001","1500000US060750163001",4.26691861286404
"060750167002","1500000US060750167002",5.88587850516016
"060750170001","1500000US060750170001",9.94810064227553
"060750209002","1500000US060750209002",1.06356969316988
"060750308004","1500000US060750308004",14.1477078493841
"060750308001","1500000US060750308001",6.22336016207802
"060750309002","1500000US060750309002",4.82822093873549
"060750310003","1500000US060750310003",4.78787925068948
"060750311002","1500000US060750311002",8.12721835453034
"060750331001","1500000US060750331001",2.26617679933601
"060750352023","1500000US060750352023",0.216028315487662
"060750353001","1500000US060750353001",1.27351067057009
"060750353003","1500000US060750353003",1.01883788285458
"060750354001","1500000US060750354001",0.110802908034139
"060750210001","1500000US060750210001",3.6480747335603
"060750211002","1500000US060750211002",4.73856770065397
"060750215005","1500000US060750215005",5.90223666764018
"060750216002","1500000US060750216002",14.6052206118273
"060750218003","1500000US060750218003",5.79704847540964
"060750228011","1500000US060750228011",1.64503004835
"060750228031","1500000US060750228031",4.47352168655214
"060750229012","1500000US060750229012",3.28093618828807
"060750230011","1500000US060750230011",2.26386415061442
"060750230012","1500000US060750230012",1.7371599132509
"060750254022","1500000US060750254022",3.14408780458916
"060750252001","1500000US060750252001",5.2329816485869
"060750253002","1500000US060750253002",5.15015751556123
"060750165002","1500000US060750165002",7.61352241845713
"060750120012","1500000US060750120012",2.582114430717
"060750153002","1500000US060750153002",6.33117093666439
"060750309007","1500000US060750309007",5.68991776050015
"060750163002","1500000US060750163002",3.35054446812431
"060750479033","1500000US060750479033",0.686393659276015
"060750614011","1500000US060750614011",2.05236698723329
"060750329021","1500000US060750329021",0.87686001031643
"060750167003","1500000US060750167003",38.963688061429
"060750218004","1500000US060750218004",6.72379802429739
"060750258001","1500000US060750258001",3.33223504032312
"060750264011","1500000US060750264011",1.18329393396155
"060750117004","1500000US060750117004",0.720688302246482
"060750452011","1500000US060750452011",11.1819576179862
"060750117003","1500000US060750117003",0.533293534305155
"060750452022","1500000US060750452022",4.56605269628132
"060750233002","1500000US060750233002",0.940838894884985
"060750126012","1500000US060750126012",3.12756093332946
"060750202012","1500000US060750202012",2.67051539544422
"060750111011","1500000US060750111011",0.775796865496055
"060750232002","1500000US060750232002",0.466909832497419
"060750166012","1500000US060750166012",6.201408879555
"060750314011","1500000US060750314011",3.04062647085618
"060750124061","1500000US060750124061",0.854879204446937
"060750112004","1500000US060750112004",1.02041841898262
"060750257021","1500000US060750257021",2.25346461429053
"060750305001","1500000US060750305001",21.6341288766466
"060750234002","1500000US060750234002",1.14195290558597
"060750263023","1500000US060750263023",3.89751816369248
"060750264012","1500000US060750264012",1.57128771368899
"060750103003","1500000US060750103003",2.21853692423556
"060750105003","1500000US060750105003",2.41768813149852
"060750262011","1500000US060750262011",1.1886618881643
"060750107012","1500000US060750107012",0.374715882807387
"060750178044","1500000US060750178044",1.0254434657372
"060750452021","1500000US060750452021",4.29923994143181
"060750263013","1500000US060750263013",1.66137346948779
"060750615082","1500000US060750615082",2.85720610389037
"060750135002","1500000US060750135002",3.25769327857145
"060750426012","1500000US060750426012",4.21937778746352
"060750109022","1500000US060750109022",1.15185279202811
"060750156002","1500000US060750156002",5.555983555827
"060750256004","1500000US060750256004",3.05466893996426
"060750477011","1500000US060750477011",0.840513942548766
"060750615051","1500000US060750615051",2.42825740698265
"060750125022","1500000US060750125022",0.432709815476592
"060750211004","1500000US060750211004",6.45789369518295
"060750229013","1500000US060750229013",3.19892985133718
"060750306001","1500000US060750306001",6.04087606018985
"060750477021","1500000US060750477021",1.11729534844727
"060750327002","1500000US060750327002",0.295688600268193
"060750428003","1500000US060750428003",11.7218334924325
"060750477023","1500000US060750477023",2.17585000185428
"060750113001","1500000US060750113001",0.737782267938984
"060750262021","1500000US060750262021",3.88039492953212
"060750178043","1500000US060750178043",2.77191074224695
"060750102022","1500000US060750102022",1.13856687268782
"060750479031","1500000US060750479031",0.426296191180849
"060750122032","1500000US060750122032",1.10875440801314
"060750135003","1500000US060750135003",3.97097772944133
"060750124042","1500000US060750124042",2.0815696157003
"060750263033","1500000US060750263033",0.820435549250475
"060750124051","1500000US060750124051",0.769057567960212
"060750176033","1500000US060750176033",0.398213639558445
"060750125031","1500000US060750125031",0.208165872854645
"060750176023","1500000US060750176023",0.722108380276387
"060750230033","1500000US060750230033",3.86528573373726
"060750452013","1500000US060750452013",8.20626026033131
"060750262013","1500000US060750262013",4.53440880563471
"060750351024","1500000US060750351024",1.05362962653079
"060750124053","1500000US060750124053",0.336993577522251
"060750125041","1500000US060750125041",1.89004172295103
"060750208021","1500000US060750208021",0.81026476439211
"060750330013","1500000US060750330013",0.821659989586819
"060750330021","1500000US060750330021",2.02104951004669
"060750159004","1500000US060750159004",3.0893798088822
"060750169003","1500000US060750169003",7.73445597239355
"060750128012","1500000US060750128012",6.74002353497842
"060750104023","1500000US060750104023",1.21272330016857
"060750161011","1500000US060750161011",3.8774351330844
"060750111013","1500000US060750111013",2.0279693250594
"060750611021","1500000US060750611021",0.901775359842969
"060750615011","1500000US060750615011",4.51532664804127
"060750479022","1500000US060750479022",0.908112880071534
"060750351012","1500000US060750351012",0.229791033984034
"060750615062","1500000US060750615062",2.66786983395875
"060750260014","1500000US060750260014",2.61589400943596
"060750119013","1500000US060750119013",2.05321603385727
"060750124041","1500000US060750124041",0.497055097078758
"060750263032","1500000US060750263032",1.18746340639619
"060750104022","1500000US060750104022",2.63835438258327
"060750255013","1500000US060750255013",3.19433556206272
"060750351011","1500000US060750351011",0.526104990744826
"060750124031","1500000US060750124031",1.04365511508879
"060750110012","1500000US060750110012",1.0161776986362
"060750120022","1500000US060750120022",0.0630895240518979
"060750107022","1500000US060750107022",0.13809527190593
"060750122041","1500000US060750122041",2.83562637117318
"060750123024","1500000US060750123024",0.367446240906852
"060750134011","1500000US060750134011",7.00866061540926
"060750202021","1500000US060750202021",1.68403622367574
"060750201023","1500000US060750201023",0.43154334341785
"060750208011","1500000US060750208011",2.20390977179176
"060750607011","1500000US060750607011",1.60832846208692
"060750130021","1500000US060750130021",2.64744776766759
"060750130012","1500000US060750130012",3.66745080802119
"060750314012","1500000US060750314012",4.04291095891961
"060750110021","1500000US060750110021",1.58018446059778
"060750101011","1500000US060750101011",1.54892710926305
"060750104021","1500000US060750104021",2.78496769640682
"060750122043","1500000US060750122043",6.55076985506405
"060750102011","1500000US060750102011",1.54274441764911
"060750231031","1500000US060750231031",0.581747125959774
"060750180003","1500000US060750180003",1.03407381901288
"060750301011","1500000US060750301011",8.22374185304404
"060750214002","1500000US060750214002",6.74341931406164
"060750135001","1500000US060750135001",5.1147013919668
"060750353005","1500000US060750353005",0.211156885286828
"060750309004","1500000US060750309004",6.88083802449291
"060750264031","1500000US060750264031",0.652521941378495
"060750132004","1500000US060750132004",3.51316800326374
"060750615061","1500000US060750615061",4.0380557894094
"060750179032","1500000US060750179032",0.772573756327225
"060750122021","1500000US060750122021",0.520787637004558
"060750125024","1500000US060750125024",0.995357599775527
"060750253001","1500000US060750253001",7.6198180461374
"060750259001","1500000US060750259001",2.77387636211916
"060750615041","1500000US060750615041",1.16162928668482
"060750216003","1500000US060750216003",17.6762236716999
"060750204012","1500000US060750204012",8.42451041271325
"060750204013","1500000US060750204013",10.088154901333
"060750257023","1500000US060750257023",1.83890505477805
"060750312012","1500000US060750312012",2.51556936213294
"060750313012","1500000US060750313012",3.48501308161292
"060750326012","1500000US060750326012",1.4715970743304
"060750326021","1500000US060750326021",1.02874573781593
"060750328011","1500000US060750328011",1.38705400195434
"060750329011","1500000US060750329011",1.01664766125223
"060750332031","1500000US060750332031",4.69100937421846
"060750168011","1500000US060750168011",3.84604704971693
"060750171011","1500000US060750171011",10.0393801598133
"060750171021","1500000US060750171021",9.20575526918054
"060750178011","1500000US060750178011",1.32654987558661
"060750151001","1500000US060750151001",1.44357928837738
"060750610002","1500000US060750610002",4.60698092845579
"060750331004","1500000US060750331004",0.461768612018868
"060750401004","1500000US060750401004",10.0717586314756
"060750176021","1500000US060750176021",0.43432392009937
"060750131022","1500000US060750131022",3.25083807902804
"060750204024","1500000US060750204024",14.832663868895
"060750206022","1500000US060750206022",7.76682453318888
"060750201011","1500000US060750201011",1.32967963325209
"060750604002","1500000US060750604002",9.79743700557115
"060750178031","1500000US060750178031",0.562519302672006
"060750178032","1500000US060750178032",0.623388330712831
"060750180004","1500000US060750180004",0.436765227470929
"060750614022","1500000US060750614022",1.58191095473223
"060750607032","1500000US060750607032",1.40274594723353
"060750179031","1500000US060750179031",3.13959510302371
"060750351023","1500000US060750351023",0.474390914768836
"060750157011","1500000US060750157011",7.3358614644308
"060750124052","1500000US060750124052",0.66646437550339
"060750176022","1500000US060750176022",0.390033165559389
"060750201022","1500000US060750201022",0.102382945683613
"060750607021","1500000US060750607021",0.806719369316266
"060750227043","1500000US060750227043",5.84823079308645
"060750614021","1500000US060750614021",2.9753315402432
"060750161021","1500000US060750161021",4.68665587761979
"060750123023","1500000US060750123023",0.055095538804975
"060750611012","1500000US060750611012",1.76804896310612
"060750154022","1500000US060750154022",5.67422330798194
"060750611011","1500000US060750611011",1.35296399486837
"060750352012","1500000US060750352012",0.169581485487134
"060750329022","1500000US060750329022",1.1346022521585
"060750206011","1500000US060750206011",4.84150201344277
"060750207021","1500000US060750207021",2.62322302088977
"060750133002","1500000US060750133002",7.49850677177685
"060750164001","1500000US060750164001",4.07763755795962
"060750301012","1500000US060750301012",8.11910514064364
"060750615081","1500000US060750615081",1.17670580709977
"060750259002","1500000US060750259002",4.91469965838826
"060750253003","1500000US060750253003",2.23231520161549
"060750128013","1500000US060750128013",4.39518888422615
"060750122042","1500000US060750122042",1.89313454784478
"060750304005","1500000US060750304005",1.78418371824712
"060750166011","1500000US060750166011",8.94254499404296
"060750251003","1500000US060750251003",3.59938928027014
"060750309005","1500000US060750309005",9.50131408717521
"060750257012","1500000US060750257012",1.50414308122338
"060750203002","1500000US060750203002",2.23289526732491
"060750211003","1500000US060750211003",6.14790749493246
"060750252004","1500000US060750252004",7.56443703511192
"060750301013","1500000US060750301013",6.31328334659978
"060750302013","1500000US060750302013",4.3998053997434
"060750311001","1500000US060750311001",6.47103184401683
"060750327003","1500000US060750327003",0.602405774654162
"060750352021","1500000US060750352021",0.124385729820992
"060750133003","1500000US060750133003",4.99332689040343
"060750165003","1500000US060750165003",6.16493032917658
"060750614013","1500000US060750614013",3.73252094615567
"060750255023","1500000US060750255023",3.49279850533118
"060750111022","1500000US060750111022",1.0750076011499
"060750130022","1500000US060750130022",4.11952881482304
"060750123013","1500000US060750123013",0.183218805471929
"060750165004","1500000US060750165004",7.24275480291904
"060750307002","1500000US060750307002",12.3158297348297
"060750121002","1500000US060750121002",1.62948657101756
"060750612001","1500000US060750612001",2.52797516382665
"060750331002","1500000US060750331002",1.14085604612451
"060750205001","1500000US060750205001",4.64406206205312
"060750152011","1500000US060750152011",2.79189946061895
"060750129023","1500000US060750129023",1.59659080309499
"060750257013","1500000US060750257013",1.51282253469202
"060750209003","1500000US060750209003",2.29207198765387
"060750254031","1500000US060750254031",3.60338413778645
"060750131014","1500000US060750131014",2.01578358741732
"060750104012","1500000US060750104012",0.714684105418067
"060750262012","1500000US060750262012",1.70534746458843
"060750157012","1500000US060750157012",7.28073395408911
"060750255012","1500000US060750255012",4.40866087360891
"060750479021","1500000US060750479021",0.604065475350428
"060750230031","1500000US060750230031",3.05601947721071
"060750110022","1500000US060750110022",1.59604211772838
"060750202023","1500000US060750202023",4.0119168559411
"060750201012","1500000US060750201012",0.465233920522185
"060750402002","1500000US060750402002",3.23434324806704
"060750327007","1500000US060750327007",0.726698711059354
"060750328012","1500000US060750328012",3.99030701233134
"060750156001","1500000US060750156001",3.78724239593983
"060750601002","1500000US060750601002",21.9959972249348
"060750329023","1500000US060750329023",1.36483333089886
"060750311005","1500000US060750311005",8.91294517014036
"060750154021","1500000US060750154021",6.81377744314001
"060750227041","1500000US060750227041",1.79961221810575
"060750605022","1500000US060750605022",0.605409260763939
"060750254023","1500000US060750254023",2.71103687346229
"060750256001","1500000US060750256001",2.61416345545585
"060750263012","1500000US060750263012",1.617786541169
"060750261001","1500000US060750261001",2.5874569653651
"060750264021","1500000US060750264021",1.49222451967389
"060750302011","1500000US060750302011",2.67776629467743
"060750303012","1500000US060750303012",5.9784634748286
"060750303011","1500000US060750303011",4.64812983997648
"060750303023","1500000US060750303023",3.61689924130335
"060750303021","1500000US060750303021",4.27339270094483
"060750304003","1500000US060750304003",6.95859879864131
"060750304002","1500000US060750304002",11.5114793174956
"060750306003","1500000US060750306003",16.5778548925999
"060750307001","1500000US060750307001",17.6665778369427
"060750308005","1500000US060750308005",2.48709289371953
"060750303022","1500000US060750303022",14.511247596425
"060750352014","1500000US060750352014",0.521790574947021
"060750478011","1500000US060750478011",1.18196180505512
"060750478021","1500000US060750478021",1.32185395754549
