"GEO_ID","NAME","H4_001N","H4_002N","H4_003N","H4_004N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Owned with a mortgage or a loan"," !!Total:!!Owned free and clear"," !!Total:!!Renter occupied",
"1000000US060750102021004","Block 1004, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0",
"1000000US060750102021005","Block 1005, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0",
"1000000US060750102021006","Block 1006, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0",
"1000000US060750102021007","Block 1007, Block Group 1, Census Tract 102.02, San Francisco County, California","46","0","0","46",
"1000000US060750102021008","Block 1008, Block Group 1, Census Tract 102.02, San Francisco County, California","12","0","3","9",
"1000000US060750102021009","Block 1009, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0",
"1000000US060750102021010","Block 1010, Block Group 1, Census Tract 102.02, San Francisco County, California","72","17","10","45",
"1000000US060750102021011","Block 1011, Block Group 1, Census Tract 102.02, San Francisco County, California","11","11","0","0",
"1000000US060750102021012","Block 1012, Block Group 1, Census Tract 102.02, San Francisco County, California","48","0","21","27",
"1000000US060750102021013","Block 1013, Block Group 1, Census Tract 102.02, San Francisco County, California","101","0","30","71",
"1000000US060750102021014","Block 1014, Block Group 1, Census Tract 102.02, San Francisco County, California","0","0","0","0",
"1000000US060750102021015","Block 1015, Block Group 1, Census Tract 102.02, San Francisco County, California","46","5","3","38",
"1000000US060750102021016","Block 1016, Block Group 1, Census Tract 102.02, San Francisco County, California","26","26","0","0",
"1000000US060750102021017","Block 1017, Block Group 1, Census Tract 102.02, San Francisco County, California","125","52","0","73",
"1000000US060750102021018","Block 1018, Block Group 1, Census Tract 102.02, San Francisco County, California","48","5","6","37",
"1000000US060750102022000","Block 2000, Block Group 2, Census Tract 102.02, San Francisco County, California","0","0","0","0",
"1000000US060750102022001","Block 2001, Block Group 2, Census Tract 102.02, San Francisco County, California","174","38","67","69",
"1000000US060750102022002","Block 2002, Block Group 2, Census Tract 102.02, San Francisco County, California","0","0","0","0",
"1000000US060750102022003","Block 2003, Block Group 2, Census Tract 102.02, San Francisco County, California","175","0","10","165",
"1000000US060750102022004","Block 2004, Block Group 2, Census Tract 102.02, San Francisco County, California","83","12","0","71",
"1000000US060750102022005","Block 2005, Block Group 2, Census Tract 102.02, San Francisco County, California","0","0","0","0",
"1000000US060750102022006","Block 2006, Block Group 2, Census Tract 102.02, San Francisco County, California","157","32","41","84",
"1000000US060750102022007","Block 2007, Block Group 2, Census Tract 102.02, San Francisco County, California","54","20","0","34",
"1000000US060750103001000","Block 1000, Block Group 1, Census Tract 103, San Francisco County, California","49","0","0","49",
"1000000US060750103001001","Block 1001, Block Group 1, Census Tract 103, San Francisco County, California","57","0","24","33",
"1000000US060750103001002","Block 1002, Block Group 1, Census Tract 103, San Francisco County, California","0","0","0","0",
"1000000US060750103001003","Block 1003, Block Group 1, Census Tract 103, San Francisco County, California","26","0","0","26",
"1000000US060750103001004","Block 1004, Block Group 1, Census Tract 103, San Francisco County, California","0","0","0","0",
"1000000US060750103001005","Block 1005, Block Group 1, Census Tract 103, San Francisco County, California","49","1","1","47",
"1000000US060750103001006","Block 1006, Block Group 1, Census Tract 103, San Francisco County, California","34","34","0","0",
"1000000US060750103001007","Block 1007, Block Group 1, Census Tract 103, San Francisco County, California","121","29","0","92",
"1000000US060750103001008","Block 1008, Block Group 1, Census Tract 103, San Francisco County, California","73","10","10","53",
"1000000US060750103001009","Block 1009, Block Group 1, Census Tract 103, San Francisco County, California","32","0","0","32",
"1000000US060750103001010","Block 1010, Block Group 1, Census Tract 103, San Francisco County, California","46","0","0","46",
"1000000US060750103001011","Block 1011, Block Group 1, Census Tract 103, San Francisco County, California","122","0","0","122",
"1000000US060750103001012","Block 1012, Block Group 1, Census Tract 103, San Francisco County, California","128","0","39","89",
"1000000US060750103001013","Block 1013, Block Group 1, Census Tract 103, San Francisco County, California","99","25","1","73",
"1000000US060750103002000","Block 2000, Block Group 2, Census Tract 103, San Francisco County, California","96","0","21","75",
"1000000US060750103002001","Block 2001, Block Group 2, Census Tract 103, San Francisco County, California","58","23","0","35",
"1000000US060750103002002","Block 2002, Block Group 2, Census Tract 103, San Francisco County, California","60","8","0","52",
"1000000US060750103002003","Block 2003, Block Group 2, Census Tract 103, San Francisco County, California","116","20","6","90",
"1000000US060750103002004","Block 2004, Block Group 2, Census Tract 103, San Francisco County, California","74","0","29","45",
"1000000US060750103002005","Block 2005, Block Group 2, Census Tract 103, San Francisco County, California","138","14","12","112",
"1000000US060750103003000","Block 3000, Block Group 3, Census Tract 103, San Francisco County, California","142","42","6","94",
"1000000US060750103003001","Block 3001, Block Group 3, Census Tract 103, San Francisco County, California","61","14","3","44",
"1000000US060750103003002","Block 3002, Block Group 3, Census Tract 103, San Francisco County, California","117","0","44","73",
"1000000US060750103003003","Block 3003, Block Group 3, Census Tract 103, San Francisco County, California","20","3","3","14",
"1000000US060750103003004","Block 3004, Block Group 3, Census Tract 103, San Francisco County, California","28","0","6","22",
"1000000US060750103003005","Block 3005, Block Group 3, Census Tract 103, San Francisco County, California","103","34","11","58",
"1000000US060750103003006","Block 3006, Block Group 3, Census Tract 103, San Francisco County, California","69","45","8","16",
"1000000US060750103003007","Block 3007, Block Group 3, Census Tract 103, San Francisco County, California","134","0","0","134",
"1000000US060750104011000","Block 1000, Block Group 1, Census Tract 104.01, San Francisco County, California","118","0","6","112",
"1000000US060750104011001","Block 1001, Block Group 1, Census Tract 104.01, San Francisco County, California","86","36","25","25",
"1000000US060750104011002","Block 1002, Block Group 1, Census Tract 104.01, San Francisco County, California","0","0","0","0",
"1000000US060750104011003","Block 1003, Block Group 1, Census Tract 104.01, San Francisco County, California","0","0","0","0",
"1000000US060750104011004","Block 1004, Block Group 1, Census Tract 104.01, San Francisco County, California","11","0","0","11",
"1000000US060750104011005","Block 1005, Block Group 1, Census Tract 104.01, San Francisco County, California","43","11","0","32",
"1000000US060750104012000","Block 2000, Block Group 2, Census Tract 104.01, San Francisco County, California","126","26","0","100",
"1000000US060750104012001","Block 2001, Block Group 2, Census Tract 104.01, San Francisco County, California","146","32","0","114",
"1000000US060750104012002","Block 2002, Block Group 2, Census Tract 104.01, San Francisco County, California","133","14","10","109",
"1000000US060750104012003","Block 2003, Block Group 2, Census Tract 104.01, San Francisco County, California","141","30","0","111",
"1000000US060750104012004","Block 2004, Block Group 2, Census Tract 104.01, San Francisco County, California","107","11","10","86",
"1000000US060750104012005","Block 2005, Block Group 2, Census Tract 104.01, San Francisco County, California","66","1","40","25",
"1000000US060750104012006","Block 2006, Block Group 2, Census Tract 104.01, San Francisco County, California","87","9","17","61",
"1000000US060750104021000","Block 1000, Block Group 1, Census Tract 104.02, San Francisco County, California","203","59","27","117",
"1000000US060750104021001","Block 1001, Block Group 1, Census Tract 104.02, San Francisco County, California","46","0","21","25",
"1000000US060750104021002","Block 1002, Block Group 1, Census Tract 104.02, San Francisco County, California","72","24","11","37",
"1000000US060750104021003","Block 1003, Block Group 1, Census Tract 104.02, San Francisco County, California","5","5","0","0",
"1000000US060750104021004","Block 1004, Block Group 1, Census Tract 104.02, San Francisco County, California","63","27","0","36",
"1000000US060750104021005","Block 1005, Block Group 1, Census Tract 104.02, San Francisco County, California","39","14","0","25",
"1000000US060750104022000","Block 2000, Block Group 2, Census Tract 104.02, San Francisco County, California","139","41","14","84",
"1000000US060750104022001","Block 2001, Block Group 2, Census Tract 104.02, San Francisco County, California","45","7","13","25",
"1000000US060750104022002","Block 2002, Block Group 2, Census Tract 104.02, San Francisco County, California","94","0","17","77",
"1000000US060750104022003","Block 2003, Block Group 2, Census Tract 104.02, San Francisco County, California","155","38","0","117",
"1000000US060750104023000","Block 3000, Block Group 3, Census Tract 104.02, San Francisco County, California","48","0","0","48",
"1000000US060750104023001","Block 3001, Block Group 3, Census Tract 104.02, San Francisco County, California","57","22","0","35",
"1000000US060750104023002","Block 3002, Block Group 3, Census Tract 104.02, San Francisco County, California","105","0","27","78",
"1000000US060750104023003","Block 3003, Block Group 3, Census Tract 104.02, San Francisco County, California","160","17","27","116",
"1000000US060750104023004","Block 3004, Block Group 3, Census Tract 104.02, San Francisco County, California","93","18","0","75",
"1000000US060750105001000","Block 1000, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001001","Block 1001, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001002","Block 1002, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001003","Block 1003, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001004","Block 1004, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001005","Block 1005, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001006","Block 1006, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001007","Block 1007, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001008","Block 1008, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001009","Block 1009, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001010","Block 1010, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001011","Block 1011, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001012","Block 1012, Block Group 1, Census Tract 105, San Francisco County, California","89","0","0","89",
"1000000US060750105001013","Block 1013, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001014","Block 1014, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001015","Block 1015, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001016","Block 1016, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001017","Block 1017, Block Group 1, Census Tract 105, San Francisco County, California","99","33","20","46",
"1000000US060750105001018","Block 1018, Block Group 1, Census Tract 105, San Francisco County, California","96","0","0","96",
"1000000US060750105001019","Block 1019, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105001020","Block 1020, Block Group 1, Census Tract 105, San Francisco County, California","183","84","36","63",
"1000000US060750105001021","Block 1021, Block Group 1, Census Tract 105, San Francisco County, California","175","93","53","29",
"1000000US060750105002000","Block 2000, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105002001","Block 2001, Block Group 2, Census Tract 105, San Francisco County, California","1","0","0","1",
"1000000US060750105002002","Block 2002, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105002003","Block 2003, Block Group 2, Census Tract 105, San Francisco County, California","62","31","19","12",
"1000000US060750105002004","Block 2004, Block Group 2, Census Tract 105, San Francisco County, California","42","8","25","9",
"1000000US060750105002005","Block 2005, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105002006","Block 2006, Block Group 2, Census Tract 105, San Francisco County, California","16","0","9","7",
"1000000US060750105002007","Block 2007, Block Group 2, Census Tract 105, San Francisco County, California","385","1","0","384",
"1000000US060750105002008","Block 2008, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105002009","Block 2009, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105002010","Block 2010, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105002011","Block 2011, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105002012","Block 2012, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105002013","Block 2013, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0",
"1000000US060750105002014","Block 2014, Block Group 2, Census Tract 105, San Francisco County, California","1","0","0","1",
"1000000US060750105003000","Block 3000, Block Group 3, Census Tract 105, San Francisco County, California","702","0","0","702",
"1000000US060750106001000","Block 1000, Block Group 1, Census Tract 106, San Francisco County, California","59","0","1","58",
"1000000US060750106001001","Block 1001, Block Group 1, Census Tract 106, San Francisco County, California","44","0","6","38",
"1000000US060750106001002","Block 1002, Block Group 1, Census Tract 106, San Francisco County, California","107","0","0","107",
"1000000US060750106001003","Block 1003, Block Group 1, Census Tract 106, San Francisco County, California","110","1","11","98",
"1000000US060750106001004","Block 1004, Block Group 1, Census Tract 106, San Francisco County, California","56","10","0","46",
"1000000US060750106001005","Block 1005, Block Group 1, Census Tract 106, San Francisco County, California","55","0","0","55",
"1000000US060750106001006","Block 1006, Block Group 1, Census Tract 106, San Francisco County, California","207","33","14","160",
"1000000US060750106002000","Block 2000, Block Group 2, Census Tract 106, San Francisco County, California","33","3","0","30",
