"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"H4_001N"," !!Total:"
"H4_002N"," !!Total:!!Owned with a mortgage or a loan"
"H4_003N"," !!Total:!!Owned free and clear"
"H4_004N"," !!Total:!!Renter occupied"
